mm10	Mouse
rn5	Rat
dipOrd1	Kangaroo_rat
hetGla2	Naked_mole-rat
cavPor3	Guinea_pig
speTri2	Squirrel
oryCun2	Rabbit
ochPri2	Pika
hg19	Human
panTro4	Chimpanzee
gorGor3	Gorilla
ponAbe2	Orangutan
nomLeu2	Gibbon
rheMac3	Macaque
papHam1	Baboon
calJac3	Marmoset
saiBol1	Squirrel_monkey
tarSyr1	Tarsier
micMur1	Mouse_lemur
otoGar3	Bushbaby
tupBel1	Tree_shrew
susScr3	Pig
vicPac1	Alpaca
turTru2	Dolphin
oviAri1	Sheep
bosTau7	Cow
felCat5	Cat
canFam3	Dog
ailMel1	Panda
equCab2	Horse
equCab1	Horse
myoLuc2	Microbat
pteVam1	Megabat
eriEur1	Hedgehog
sorAra1	Shrew
loxAfr3	Elefant
proCap1	Rock_hyrax
echTel1	Tenrec
triMan1	Manatee
dasNov3	Armadillo
choHof1	Sloth
monDom5	Opossum
sarHar1	Tasmanian_devil
macEug2	Wallaby
ornAna1	Platypus
melGal1	Turkey
galGal4	Chicken
taeGut1	Zebra_finch
melUnd1	Budgerigar
anoCar2	Anole_lizard
chrPic1	Painted_turtle
xenTro3	Xenopus_frog
latCha1	Coelacanth	
tetNig2	Tetraodon
fr3	Fugu
oreNil2	Nile_tilapia
gasAcu1	Stickleback
oryLat2	Medaka
gadMor1	Atlantic_cod
danRer7	Zebrafish
petMar1	Lamprey
rn6	Rat
micOch1	Prairie_vole
hg38	Human
panTro5	Chimpanzee
rheMac8	Macaque
tarSyr2	Tarsier
felCat8	Cat
bosTau8	Cow
ornAna2	Platypus
melGal5	Turkey
xenTro7	Xenopus_frog
danRer10	Zebrafish
calMil1	Elephant_shark
galGal5	Chicken
